1,1,1275
2,1,1275
3,1,1265
4,1,1246
5,1,1294
6,1,1273
7,1,1248
8,1,1262
9,1,1288
10,1,1298
11,1,1320
12,1,1328
13,1,1283
14,1,1268
15,1,1312
16,1,1271
17,1,1284
18,1,1286
19,1,1282
20,1,1288
21,1,1290
22,1,1266
23,1,1337
24,1,1295
25,1,1294
26,1,1312
27,1,1327
28,1,1295
29,1,1346
30,1,1301
31,1,1291
32,1,1358
33,1,1316
34,1,1350
35,1,1361
36,1,1353
37,1,1366
38,1,1418
39,1,1372
40,1,1368
41,1,1392
42,1,1430
43,1,1380
44,1,1392
45,1,1419
46,1,1435
47,1,1469
48,1,1469
49,1,1457
50,1,1552
51,1,1560
52,1,1518
53,1,1532
54,1,1548
55,1,1535
56,1,1592
57,1,1594
58,1,1617
59,1,1606
60,1,1630
61,1,1625
62,1,1627
63,1,1652
64,1,1666
65,1,1736
66,1,1712
67,1,1721
68,1,1797
69,1,1757
70,1,1800
71,1,1837
72,1,1859
73,1,1937
74,1,1978
75,1,2021
76,1,2084
77,1,2168
78,1,2231
79,1,2346
80,1,2475
81,1,2618
82,1,2773
83,1,3036
84,1,3377
85,1,3827
86,1,4210
87,1,4770
88,1,5519
89,1,6081
90,1,6783
91,1,7614
92,1,8440
93,1,9201
94,1,9895
95,1,10728
96,1,11447
97,1,12202
98,1,12860
99,1,13660
100,1,14375
101,1,15494
102,1,16445
103,1,17347
104,1,18341
105,1,18921
106,1,19387
107,1,19531
108,1,19327
109,1,18146
110,1,16965
111,1,15254
112,1,13268
113,1,11375
114,1,9318
115,1,7562
116,1,6040
117,1,4881
118,1,4148
119,1,3492
120,1,3192
121,1,2915
122,1,2829
123,1,2699
124,1,2775
125,1,2919
126,1,3001
127,1,3199
128,1,3414
129,1,3524
130,1,3742
131,1,3950
132,1,4226
133,1,4318
134,1,4601
135,1,4782
136,1,4952
137,1,5220
138,1,5478
139,1,5734
140,1,5896
141,1,6252
142,1,6530
143,1,6567
144,1,6677
145,1,6627
146,1,6410
147,1,6153
148,1,5821
149,1,5240
150,1,4768
151,1,4145
152,1,3564
153,1,3030
154,1,2762
155,1,2366
156,1,2258
157,1,2043
158,1,1949
159,1,1867
160,1,1781
161,1,1791
162,1,1704
163,1,1740
164,1,1669
165,1,1631
166,1,1708
167,1,1650
168,1,1622
169,1,1659
170,1,1610
171,1,1593
172,1,1553
173,1,1611
174,1,1556
175,1,1585
176,1,1511
177,1,1567
178,1,1537
179,1,1520
180,1,1552
181,1,1528
182,1,1537
183,1,1530
184,1,1513
185,1,1552
186,1,1499
187,1,1538
188,1,1545
189,1,1521
190,1,1567
191,1,1488
192,1,1499
193,1,1536
194,1,1518
195,1,1468
196,1,1475
197,1,1511
198,1,1508
199,1,1519
200,1,1500
201,1,1493
202,1,1486
203,1,1505
204,1,1493
205,1,1512
206,1,1469
207,1,1526
208,1,1484
209,1,1491
210,1,1517
211,1,1541
212,1,1561
213,1,1511
214,1,1508
215,1,1538
216,1,1542
217,1,1507
218,1,1474
219,1,1511
220,1,1465
221,1,1483
222,1,1503
223,1,1502
224,1,1471
225,1,1431
226,1,1479
227,1,1470
228,1,1441
229,1,1458
230,1,1433
231,1,1420
232,1,1467
233,1,1399
234,1,1422
235,1,1424
236,1,1434
237,1,1429
238,1,1452
239,1,1432
240,1,1409
241,1,1419
242,1,1427
243,1,1424
244,1,1422
245,1,1434
246,1,1434
