VT component #1 -0.3001530078415689, -0.28729414091437677, -0.2878034302356479, -0.28697264486564106, -0.2878028942733971, -0.2875214697462056, -0.28617162721388495, -0.28651542661567003, -0.2909874198850644, -0.28477126801354563, -0.2912293088141868, -0.28656391916181506
VT component #2 0.44396818080668277, -0.23336025136210325, -0.27826630951669873, -0.26149336585968935, -0.19963605248738717, -0.12503309584264558, -0.18646162156688928, -0.08891417615689412, 0.12674899218097235, -0.17754940793027646, 0.43292379404220416, 0.5190864300324277
VT component #3 0.6989445935387024, 0.22359319415015874, 0.15693314205764908, 0.09103690950228394, 0.06769772228474341, 0.003080765830396808, -0.13249310013369925, -0.1831769084532774, 0.004684968060749094, -0.39119242748461663, -0.12198652391838335, -0.45269411125618075
VT component #4 -0.07010919626960838, 0.17912946638425759, 0.23761321698464458, 0.21297189265485883, 0.13453666055447963, 0.06756391327263703, -0.002003460400715598, -0.20972576065437354, -0.6331282479969057, -0.3376486583918156, -0.09042447692916775, 0.5210487328702572
VT component #5 -0.41992549968601683, 0.4359375205764666, 0.10813851099439989, 0.044633912905433656, -0.11685703301900269, -0.03280962142088967, -0.21391176659437153, -0.04200474447767319, 0.5254636752267908, -0.5050099552146686, 0.1425884361898102, 0.07875060807375006
VT component #6 -0.08330573227775595, -0.18219691205948738, 0.37237861264425554, 0.21837804503053512, 0.14951112724006943, -0.5059404010846514, 0.014259833783091959, -0.5517935568325381, 0.08475257582684019, 0.22246342131592742, 0.3534877998116053, -0.09420351432507387
VT component #7 0.09292686151169612, -0.3686250658255105, 0.32546851167680835, -0.10928236327823496, 0.09112250040987761, -0.0313495969551596, 0.07417838817053755, -0.09854743453423087, 0.4203670455892067, -0.07321951536633375, -0.6512601516071079, 0.3269530536387173
VT component #8 -0.08586010167346456, -0.21446707331632733, 0.34363076211967847, -0.30369323856543207, 0.4399845040674038, 0.19752344113499504, -0.6340497751033839, 0.23642611269579156, -0.08708189254497588, 0.013426781206690934, 0.1762999779426514, -0.08340694936713278
VT component #9 0.0636390586881613, 0.030526384198862146, -0.23607306242194673, 0.37456132737715203, 0.2668116200389304, -0.6396302299961502, -0.22109676461936117, 0.4800768492228145, -0.0029443768251341627, -0.0454979866308087, -0.16679552960255747, 0.09705263661485346
VT component #10 -0.0010943786821746725, 0.06541220672483489, 0.35586093815073533, -0.5230029790355171, -0.02917407139838641, -0.3796161511527496, 0.47675974285699085, 0.3495558847269093, -0.14437186344327663, -0.23483491394186623, 0.13945379113889939, -0.075260699755578
VT component #11 0.028199586886228267, -0.3140430636305549, 0.4059147251286808, 0.39415760035259845, -0.6573052628933673, 0.06001929597412234, -0.14203102050329192, 0.3241057289391249, -0.07637875598349309, -0.05493557397045527, 0.0872390274827597, -0.05588041777642197
VT component #12 -0.12341235332682782, -0.5215096580559848, -0.19272548069357393, 0.26940913493893764, 0.3356236777513656, 0.20793200551970503, 0.34049940995116545, 0.05392079692184529, 0.0641504974187773, -0.5000415736395307, 0.22208077286195882, -0.157701207468526
